Account,Symbol(CUSIP),Security Description,Quantity,Date Acquired,Date Sold,Proceeds,Cost Basis,Short Term Gain/Loss,Long Term Gain/Loss
"	c6acba650155",PQR(4792a9c1),PQR CORP,450,5/6/26,6/11/26,"$42,495.77 ","$17,905.34 ","$24,590.43 ", --
"	c6acba650155",OUX(094792a9),OUX INC,100,1/28/26,2/2/26,"$13,721.40 ","$7,496.55 ","$6,224.85 ", --
"	c6acba650155",AGM(106de0947),AGM TECHNOLOGY INC COM,30,3/4/26,3/13/26,"$16,006.03 ","$8,302.76 ","$7,703.27 ", --
"	c6acba650155",DLRX(106de0947),DLRX CORP,200,6/16/26,6/22/26,"$35,125.55 ","$17,273.79 ","$17,851.76 ", --
"	c6acba650155",DLRX(106de0947),DLRX CORP,100,4/16/26,5/28/26,"$15,197.81 ","$4,700.69 ","$10,497.12 ", --
"	c6acba650155",DLRX(106de0947),DLRX CORP,100,4/16/26,5/28/26,"$15,197.81 ","$4,700.69 ","$10,497.12 ", --
"	c6acba650155",JPV(4792a9c1bc),JPV CORP,50,4/9/26,6/4/26,"$36,468.68 ","$11,674.48 ","$24,794.20 ", --
"	c6acba650155",EMS(060947929),EMS ETF,35.609,11/22/25,4/30/26,"$32,389.96 ","$17,233.81 ","$15,156.15 ", --
"	c6acba650155",EMS(060947929),EMS ETF,3,11/22/25,4/30/26,$355.65 ,$189.23 ,$166.42 , --
"	c6acba650155",EMS(060947929),EMS ETF,3,11/22/25,4/30/26,$355.67 ,$189.23 ,$166.44 , --
"	c6acba650155",FMS(7929143749),FMS ETF,92.217,12/4/25,5/1/26,"$18,351.21 ","$9,493.90 ","$8,857.31 ", --
"	c6acba650155",FMS(7929143749),FMS ETF,7,12/4/25,5/1/26,$155.81 ,$80.61 ,$75.20 , --
"	c6acba650155",FMS(7929143749),FMS ETF,3,12/4/25,5/1/26,$155.81 ,$80.61 ,$75.20 , --
"	c6acba650155",QPON(09479291437),QPON CLASS A,100,1/29/26,4/6/26,"$16,011.74 ","$8,434.48 ","$7,577.26 ", --
"	c6acba650155",IQPNS(8d9695644),IQPNS COM,300,1/14/26,5/7/26,"$26,946.91 ","$10,159.08 ","$16,787.83 ", --
"	c6acba650155",HOV(449482988),HOV ETF,115,3/11/26,5/5/26,"$29,859.66 ","$15,747.07 ","$14,112.59 ", --
"	c6acba650155",HOV(449482988),HOV ETF,50,3/11/26,4/16/26,"$12,756.33 ","$6,846.55 ","$5,909.78 ", --
"	c6acba650155",HOV(449482988),HOV ETF,50,3/11/26,4/16/26,"$12,746.53 ","$6,846.55 ","$5,899.98 ", --
"	c6acba650155",OPQR(6e8449844),OPQR INC COM,30,6/9/26,6/12/26,"$15,029.72 ","$8,167.24 ","$6,862.48 ", --
"	c6acba650155",OPQR(6e8449844),OPQR INC COM,50,2/3/26,2/10/26,"$26,710.74 ","$14,486.21 ","$12,224.53 ", --
"	c6acba650155",OPQR(6e8449844),OPQR INC COM,50,10/14/24,1/2/26,"$28,576.80 ","$7,568.48 ", --,"$21,008.32 "
"	c6acba650155",OPQR(6e8449844),OPQR INC COM,34,12/9/24,1/2/26,"$19,432.22 ","$8,946.41 ", --,"$10,485.81 "
"	c6acba650155",(CUREUR026),EURO (EUR),77.31,2/24/26,5/7/26,$113.49 ,$62.77 ,$50.72 , --
