Realized Gain/Loss for Designated_Bene_Individual for 01/01/2026 to 09/02/2026 as of Wed Sep 02  17:37:22 EDT 2026,,,,,,,,,,,,,,,,,,,,,,,
"Symbol","Name","Closed Date","Quantity","Closing Price","Cost Basis Method","Proceeds","Cost Basis (CB)","Total Gain/Loss ($)","Total Gain/Loss (%)","Long Term (LT) Gain/Loss ($)","Long Term (LT) Gain/Loss (%)","Short Term (ST) Gain/Loss ($)","Short Term (ST) Gain/Loss (%)","Wash Sale?","Disallowed Loss","Transaction Closed Date","Transaction Cost Basis","Total Transaction Gain/Loss ($)","Total Transaction Gain/Loss (%)","LT Transaction Gain/Loss ($)","LT Transaction Gain/Loss (%)","ST Transaction Gain/Loss ($)","ST Transaction Gain/Loss (%)"
"IESY","IESY INC","1/2/26","100","$285.15","FIFO","$52,831.56","$19,853.27","$32,978.29","166.110116872435%","--","--","$32,978.29","166.110116872435%","No","","1/2/26","$31,488.00 ","$21,343.56","67.783155487805%","","","$21,343.56","67.783155487805%"
"WHGU","WHGU INC","1/2/26","100","$334.81","High QTEZ","$122,206.43","$36,790.14","$85,416.29","232.171690567092%","--","--","$85,416.29","232.171690567092%","No","","1/2/26","","","","","","",""
"IESY","IESY INC","1/5/26","100","$270.79","FIFO","$61,715.20","$23,826.76","$37,888.44","159.01633289629%","--","--","$37,888.44","159.01633289629%","No","","1/5/26","","","","","","",""
"WHGU","WHGU INC","1/5/26","100","$288.77","Tax Lot Optimizer","$88,073.69","$32,453.23","$55,620.46","171.386515302175%","$55,620.46","171.386515302175%","--","--","No","","1/5/26","","","","","","",""
"IEU","IEU ADR","1/9/26","100","$287.00","FIFO","$72,787.43","$20,058.65","$52,728.78","262.873024854614%","$26,364.39","262.872893802477%","$26,364.39","262.873155906881%","No","","1/9/26","","","","","","",""
"EISL","EISL INC","1/13/26","50","$473.12","FIFO","$54,696.54","$20,263.49","$34,433.05","169.926552632345%","--","--","$34,433.05","169.926552632345%","No","","1/13/26","","","","","","",""
"QYEG","QYEG INC","1/14/26","50","$263.64","FIFO","$25,522.47","$12,354.19","$13,168.28","106.589586205166%","--","--","$13,168.28","106.589586205166%","No","","1/14/26","","","","","","",""
"QYEG","QYEG INC","1/15/26","50","$228.18","FIFO","$36,500.40","$11,954.54","$24,545.86","205.326679236508%","--","--","$24,545.86","205.326679236508%","No","","1/15/26","","","","","","",""
"EISL","EISL INC","1/16/26","50","$493.20","FIFO","$54,764.08","$22,335.08","$32,429.00","145.193122209547%","--","--","$32,429.00","145.193122209547%","No","","1/16/26","","","","","","",""
"QYEG","QYEG INC","1/20/26","50","$275.97","FIFO","$51,614.81","$12,011.48","$39,603.33","329.712325208884%","--","--","$39,603.33","329.712325208884%","No","","1/20/26","","","","","","",""
"QYEG","QYEG INC","1/20/26","50","$233.08","FIFO","$32,542.17","$11,979.08","$20,563.09","171.658341041215%","--","--","$20,563.09","171.658341041215%","No","","1/20/26","","","","","","",""
"EUXF","EUXF INC","1/22/26","100","$191.85","FIFO","$83,241.45","$16,864.27","$66,377.18","393.596520928567%","--","--","$66,377.18","393.596520928567%","No","","1/22/26","","","","","","",""
"POST","POST CORP","1/22/26","100","$134.80","LIFO","$49,707.04","$14,043.68","$35,663.36","253.945974274549%","--","--","$35,663.36","253.945974274549%","No","","1/22/26","","","","","","",""
"POST","POST CORP","1/26/26","100","$135.08","LIFO","$47,258.38","$13,728.60","$33,531.80","244.247774718471%","--","--","$33,531.80","244.247774718471%","Yes","$2.02 ","1/26/26","","","","","","",""
"QYEG","QYEG INC","1/27/26","100","$318.25","FIFO","$127,835.52","$34,487.18","$93,348.34","270.675479989956%","--","--","$93,348.34","270.675479989956%","No","","1/27/26","","","","","","",""
"TIWN","TIWN CORP","1/29/26","100","$34.78","FIFO","$7,846.40","$2,845.27","$5,001.13","175.769962077413%","--","--","$5,001.13","175.769962077413%","No","","1/29/26","","","","","","",""
"EGF","EGF INC","1/29/26","100","$238.15","FIFO","$70,610.58","$20,256.01","$50,354.57","248.590763926361%","--","--","$50,354.57","248.590763926361%","No","","1/29/26","","","","","","",""
"GXF","GXF EFT","1/30/26","100","$62.34","LIFO","$17,492.22","$4,752.43","$12,739.79","268.068966823288%","--","--","$12,739.79","268.068966823288%","No","","1/30/26","","","","","","",""
"GXF","GXF EFT","1/30/26","100","$59.39","LIFO","$10,243.95","$4,760.77","$5,483.18","115.17422601806%","--","--","$5,483.18","115.17422601806%","No","","1/30/26","","","","","","",""
"QYEG","QYEG INC","2/4/26","50","$332.25","LIFO","$40,175.13","$14,560.61","$25,614.52","175.916530969513%","--","--","$25,614.52","175.916530969513%","No","","2/4/26","","","","","","",""
"QYEG","QYEG INC","2/6/26","50","$316.14","LIFO","$37,162.28","$14,821.32","$22,340.96","150.735292133224%","--","--","$22,340.96","150.735292133224%","No","","2/6/26","","","","","","",""
"IEU","IEU ADR","2/6/26","50","$281.62","LIFO","$56,195.71","$12,077.90","$44,117.81","365.277159108785%","--","--","$44,117.81","365.277159108785%","No","","2/6/26","","","","","","",""
"IESY","IESY INC","3/6/26","50","$219.92","FIFO","$27,292.10","$10,961.27","$16,330.83","148.98665939257%","--","--","$16,330.83","148.98665939257%","No","","3/6/26","","","","","","",""
"QYEG","QYEG INC","3/6/26","50","$290.50","LIFO","$33,186.39","$12,304.50","$20,881.89","169.709374619042%","--","--","$20,881.89","169.709374619042%","No","","3/6/26","","","","","","",""
"QYEG","QYEG INC","3/9/26","50","$265.30","LIFO","$36,634.73","$16,915.81","$19,718.92","116.570947533698%","--","--","$19,718.92","116.570947533698%","No","","3/9/26","","","","","","",""
"IEU","IEU ADR","3/9/26","50","$269.40","LIFO","$39,968.30","$14,662.66","$25,305.64","172.585601793945%","--","--","$25,305.64","172.585601793945%","No","","3/9/26","","","","","","",""
"QYEG","QYEG INC","3/10/26","50","$364.98","LIFO","$31,152.02","$15,347.47","$16,639.56","108.41891204218%","--","--","$16,639.56","108.41891204218%","Yes","$835.01 ","3/10/26","","","","","","",""
"QYEG","QYEG INC","3/10/26","50","$284.18","LIFO","$58,805.62","$12,928.05","$45,877.57","354.868444970433%","--","--","$45,877.57","354.868444970433%","No","","3/10/26","","","","","","",""
"QYEG","QYEG INC","3/10/26","50","$358.55","LIFO","$45,919.15","$17,500.17","$29,144.00","166.535525083471%","--","--","$29,144.00","166.535525083471%","Yes","$725.02 ","3/10/26","$20,588.50 ","$25,330.65","123.033003861379%","","","$25,330.65","123.033003861379%"
"QYEG","QYEG INC","3/13/26","50","$297.04","LIFO","$67,797.57","$16,029.28","$51,768.29","322.960794246529%","--","--","$51,768.29","322.960794246529%","No","","3/13/26","","","","","","",""
"IESY","IESY INC","3/17/26","40","$205.26","LIFO","$27,577.27","$8,253.42","$19,323.85","234.131426729768%","--","--","$19,323.85","234.131426729768%","No","","3/17/26","","","","","","",""
"QYEG","QYEG INC","3/17/26","50","$325.09","LIFO","$58,123.18","$18,530.77","$39,592.41","213.657662363733%","--","--","$39,592.41","213.657662363733%","No","","3/17/26","$20,508.50 ","$37,614.68","183.410195772485%","","","$37,614.68","183.410195772485%"
"IESY","IESY INC","3/31/26","50","$220.14","FIFO","$23,445.85","$9,255.16","$14,190.69","153.3273330769%","--","--","$14,190.69","153.3273330769%","No","","3/31/26","","","","","","",""
"WHGU","WHGU INC","4/13/26","100","$268.47","Tax Lot Optimizer","$114,356.82","$31,544.34","$82,812.48","262.527223584326%","$82,812.48","262.527223584326%","--","--","No","","4/13/26","","","","","","",""
"WHGU","WHGU INC","4/13/26","100","$223.09","Tax Lot Optimizer","$51,667.13","$30,283.63","$21,383.50","70.610755711914%","$21,383.50","70.610755711914%","--","--","No","","4/13/26","","","","","","",""
"EUXF","EUXF INC","4/14/26","50","$211.41","FIFO","$36,289.40","$8,388.05","$27,901.35","332.632137385924%","--","--","$27,901.35","332.632137385924%","No","","4/14/26","","","","","","",""
"QYEG","QYEG INC","4/14/26","50","$328.31","FIFO","$54,188.92","$16,171.79","$38,017.13","235.083005653672%","--","--","$38,017.13","235.083005653672%","No","","4/14/26","","","","","","",""
"QYEG","QYEG INC","4/14/26","50","$342.04","Tax Lot Optimizer","$73,314.46","$17,484.68","$55,829.78","319.306844620548%","--","--","$55,829.78","319.306844620548%","No","","4/14/26","","","","","","",""
"POST","POST CORP","4/14/26","100","$135.67","FIFO","$37,066.22","$9,289.46","$27,776.76","299.013720926728%","$27,776.76","299.013720926728%","--","--","No","","4/14/26","","","","","","",""
"POST","POST CORP","4/14/26","100","$133.04","Tax Lot Optimizer","$46,154.76","$10,840.41","$35,314.35","325.765815130609%","$35,314.35","325.765815130609%","--","--","No","","4/14/26","","","","","","",""
"VUWZ","VUWZ COM","4/20/26","300","$75.71","LIFO","$70,070.64","$21,027.00","$49,043.64","233.241261235554%","--","--","$49,043.64","233.241261235554%","No","","4/20/26","","","","","","",""
"VUWZ","VUWZ COM","4/20/26","100","$79.91","FIFO","$22,517.96","$5,710.95","$16,807.01","294.29446939651%","--","--","$16,807.01","294.29446939651%","No","","4/20/26","","","","","","",""
"QYEG","QYEG INC","4/22/26","100","$375.18","FIFO","$123,787.54","$30,392.56","$93,394.98","307.295535486316%","--","--","$93,394.98","307.295535486316%","No","","4/22/26","","","","","","",""
"IEU","IEU ADR","4/24/26","50","$347.09","FIFO","$51,763.19","$11,414.79","$40,348.40","353.474746359767%","--","--","$40,348.40","353.474746359767%","No","","4/24/26","","","","","","",""
"LAUF","LAUF CORP","5/6/26","50","$335.20","LIFO","$29,595.69","$17,297.42","$12,298.27","71.098869079897%","--","--","$12,298.27","71.098869079897%","No","","5/6/26","","","","","","",""
